Stage,Carcass,ADHSUB,ADHCUM
Fresh,C1,83.5,83.5
Bloat,C1,258.66666666,342.16666666
Active,C1,730.66666665,1072.83333331
Advanced,C1,179.11111112,1251.94444443
Dry,C1,696.44444447,1948.3888889
Fresh,C2,83.5,83.5
Bloat,C2,357.16666665,440.66666665
Active,C2,632.16666666,1072.83333331
Advanced,C2,179.11111112,1251.94444443
Dry,C2,696.44444447,1948.3888889
Fresh,C3,83.5,83.5
Bloat,C3,357.16666665,440.66666665
Active,C3,632.16666666,1072.83333331
Advanced,C3,367.11111114,1439.94444445
Dry,C3,508.44444445,1948.3888889
Fresh,C4,83.5,83.5
Bloat,C4,732.99999998,816.49999998
Active,C4,435.44444445,1251.94444443
Advanced,C4,188.00000002,1439.94444445
Dry,C4,508.44444445,1948.3888889
Fresh,C5,360.94444444,360.94444444
Bloat,C5,455.55555554,816.49999998
Active,C5,256.33333333,1072.83333331
Advanced,C5,433.38888891,1506.22222222
Dry,C5,442.16666668,1948.3888889
Fresh,C6,83.5,83.5
Bloat,C6,258.66666666,342.16666666
Active,C6,730.66666665,1072.83333331
Advanced,C6,179.11111112,1251.94444443
Dry,C6,696.44444447,1948.3888889