Stage,Carcass,ADHSUB,ADHCUM,SEASON
Fresh,C1,83.5,83.5,SUMMER
Bloat,C1,258.66666666,342.16666666,SUMMER
Active,C1,730.66666665,1072.83333331,SUMMER
Advanced,C1,179.11111112,1251.94444443,SUMMER
Dry,C1,696.44444447,1948.3888889,SUMMER
Fresh,C2,83.5,83.5,SUMMER
Bloat,C2,357.16666665,440.66666665,SUMMER
Active,C2,632.16666666,1072.83333331,SUMMER
Advanced,C2,179.11111112,1251.94444443,SUMMER
Dry,C2,696.44444447,1948.3888889,SUMMER
Fresh,C3,83.5,83.5,SUMMER
Bloat,C3,357.16666665,440.66666665,SUMMER
Active,C3,632.16666666,1072.83333331,SUMMER
Advanced,C3,367.11111114,1439.94444445,SUMMER
Dry,C3,508.44444445,1948.3888889,SUMMER
Fresh,C4,83.5,83.5,SUMMER
Bloat,C4,732.99999998,816.49999998,SUMMER
Active,C4,435.44444445,1251.94444443,SUMMER
Advanced,C4,188.00000002,1439.94444445,SUMMER
Dry,C4,508.44444445,1948.3888889,SUMMER
Fresh,C5,360.94444444,360.94444444,SUMMER
Bloat,C5,455.55555554,816.49999998,SUMMER
Active,C5,256.33333333,1072.83333331,SUMMER
Advanced,C5,433.38888891,1506.22222222,SUMMER
Dry,C5,442.16666668,1948.3888889,SUMMER
Fresh,C6,83.5,83.5,SUMMER
Bloat,C6,258.66666666,342.16666666,SUMMER
Active,C6,730.66666665,1072.83333331,SUMMER
Advanced,C6,179.11111112,1251.94444443,SUMMER
Dry,C6,696.44444447,1948.3888889,SUMMER
Fresh,C7,18.55555557,18.55555557,FALL
Bloat,C7,440.88888888,459.44444445,FALL
Active,C7,994.50000004,1453.94444449,FALL
Advanced,C7,127.77777778,1581.72222227,FALL
Dry,C7,0,N/A,FALL
Fresh,C8,18.55555557,18.55555557,FALL
Bloat,C8,805.83333336,824.38888893,FALL
Active,C8,297.55555555,1121.94444448,FALL
Advanced,C8,459.77777779,1581.72222227,FALL
Dry,C8,0,N/A,FALL
Fresh,C9,12.05555557,12.05555557,FALL
Bloat,C9,6.50000000,18.55555557,FALL
Active,C9,810.22222226,828.77777783,FALL
Advanced,C9,752.94444444,1581.72222227,FALL
Dry,C9,0,N/A,FALL
Fresh,C10,18.55555557,18.55555557,FALL
Bloat,C10,440.88888888,459.44444445,FALL
Active,C10,393.33333338,852.77777783,FALL
Advanced,C10,728.94444444,1581.72222227,FALL
Dry,C10,0,N/A,FALL
Fresh,C11,132.72222224,132.72222224,FALL
Bloat,C11,375.66666667,508.38888891,FALL
Active,C11,613.55555557,1121.94444448,FALL
Advanced,C11,332.00000001,1453.94444449,FALL
Dry,C11,127.77777778,1581.72222227,FALL
Fresh,C12,132.72222224,132.72222224,FALL
Bloat,C12,560.50000001,693.22222225,FALL
Active,C12,361.77777778,1055.00000003,FALL
Advanced,C12,509.27777779,1564.27777782,FALL
Dry,C12,17.44444445,1581.72222227,FALL
Fresh,C16,699.61111104,699.61111104,SPRING
Bloat,C16,157.44444443,857.05555547,SPRING
Active,C16,327.72222221,1184.77777768,SPRING
Advanced,C16,0,N/A,SPRING
Dry,C16,0,N/A,SPRING
Fresh,C17,406.66666665,406.66666665,SPRING
Bloat,C17,169.11111106,575.77777771,SPRING
Active,C17,485.77777776,1061.55555547,SPRING
Advanced,C17,123.22222221,1184.77777768,SPRING
Dry,C17,0,N/A,SPRING
Fresh,C18,406.66666665,406.66666665,SPRING
Bloat,C18,79.16666664,485.83333329,SPRING
Active,C18,556.33333329,1042.16666658,SPRING
Advanced,C18,142.6111111,1184.77777768,SPRING
Dry,C18,0,N/A,SPRING
Fresh,C19,482.22222219,482.22222219,SPRING
Bloat,C19,55.61111108,537.83333327,SPRING
Active,C19,196.66666665,734.49999992,SPRING
Advanced,C19,420.77777776,1155.27777768,SPRING
Dry,C19,29.5,1184.77777768,SPRING
Fresh,C20,699.61111104,699.61111104,SPRING
Bloat,C20,199.49999999,899.11111103,SPRING
Active,C20,205.61111111,1104.72222214,SPRING
Advanced,C20,80.05555554,1184.77777768,SPRING
Dry,C20,0,N/A,SPRING
Fresh,C21,699.61111104,699.61111104,SPRING
Bloat,C21,157.44444443,857.05555547,SPRING
Active,C21,298.22222221,1155.27777768,SPRING
Advanced,C21,29.50000000,1184.77777768,SPRING
Dry,C21,0,N/A,SPRING