stage,carcass,adh_start,adh_end,season
Fresh,C1,0,83.5,SUMMER
Fresh,C2,0,83.5,SUMMER
Fresh,C3,0,83.5,SUMMER
Fresh,C4,0,83.5,SUMMER
Fresh,C5,0,360.94444444,SUMMER
Fresh,C6,0,83.5,SUMMER
Bloat,C1,83.5,342.16666666,SUMMER
Bloat,C2,83.5,440.66666665,SUMMER
Bloat,C3,83.5,440.66666665,SUMMER
Bloat,C4,83.5,816.49999998,SUMMER
Bloat,C5,360.94444444,816.49999998,SUMMER
Bloat,C6,83.5,342.16666666,SUMMER
Active,C1,342.16666666,1072.83333331,SUMMER
Active,C2,440.66666665,1072.83333331,SUMMER
Active,C3,440.66666665,1072.83333331,SUMMER
Active,C4,816.49999998,1251.94444443,SUMMER
Active,C5,816.49999998,1072.83333331,SUMMER
Active,C6,342.16666666,1072.83333331,SUMMER
Advanced,C1,1072.83333331,1251.94444443,SUMMER
Advanced,C2,1072.83333331,1251.94444443,SUMMER
Advanced,C3,1072.83333331,1439.94444445,SUMMER
Advanced,C4,1251.94444443,1439.94444445,SUMMER
Advanced,C5,1072.83333331,1506.22222222,SUMMER
Advanced,C6,1072.83333331,1251.94444443,SUMMER
Dry,C1,1251.94444443,1948.3888889,SUMMER
Dry,C2,1251.94444443,1948.3888889,SUMMER
Dry,C3,1439.94444445,1948.3888889,SUMMER
Dry,C4,1439.94444445,1948.3888889,SUMMER
Dry,C5,1506.22222222,1948.3888889,SUMMER
Dry,C6,1251.94444443,1948.3888889,SUMMER
Fresh,C7,0,18.55555557,FALL
Fresh,C8,0,18.55555557,FALL
Fresh,C9,0,12.05555557,FALL
Fresh,C10,0,18.55555557,FALL
Fresh,C11,0,132.72222224,FALL
Fresh,C12,0,132.72222224,FALL
Bloat,C7,18.55555557,459.44444445,FALL
Bloat,C8,18.55555557,824.38888893,FALL
Bloat,C9,12.05555557,18.55555557,FALL
Bloat,C10,18.55555557,459.44444445,FALL
Bloat,C11,132.72222224,508.38888891,FALL
Bloat,C12,132.72222224,693.22222225,FALL
Active,C7,459.44444445,1453.94444449,FALL
Active,C8,824.38888893,1121.94444448,FALL
Active,C9,18.55555557,828.77777783,FALL
Active,C10,459.44444445,852.77777783,FALL
Active,C11,508.38888891,1121.94444448,FALL
Active,C12,693.22222225,1055.00000003,FALL
Advanced,C7,1453.94444449,1581.72222227,FALL
Advanced,C8,1121.94444448,1581.72222227,FALL
Advanced,C9,828.77777783,1581.72222227,FALL
Advanced,C10,852.77777783,1581.72222227,FALL
Advanced,C11,1121.94444448,1453.94444449,FALL
Advanced,C12,1055.00000003,1564.27777782,FALL
Dry,C7,1581.72222227,1581.72222227,FALL
Dry,C8,1581.72222227,1581.72222227,FALL
Dry,C9,1581.72222227,1581.72222227,FALL
Dry,C10,1581.72222227,1581.72222227,FALL
Dry,C11,1453.94444449,1581.72222227,FALL
Dry,C12,1564.27777782,1581.72222227,FALL
Fresh,C16,0,699.61111104,SPRING
Fresh,C17,0,406.66666665,SPRING
Fresh,C18,0,406.66666665,SPRING
Fresh,C19,0,482.22222219,SPRING
Fresh,C20,0,699.61111104,SPRING
Fresh,C21,0,699.61111104,SPRING
Bloat,C16,699.61111104,857.05555547,SPRING
Bloat,C17,406.66666665,575.77777771,SPRING
Bloat,C18,406.66666665,485.83333329,SPRING
Bloat,C19,482.22222219,537.83333327,SPRING
Bloat,C20,699.61111104,899.11111103,SPRING
Bloat,C21,699.61111104,857.05555547,SPRING
Active,C16,857.05555547,1184.77777768,SPRING
Active,C17,575.77777771,1061.55555547,SPRING
Active,C18,485.83333329,1042.16666658,SPRING
Active,C19,537.83333327,734.49999992,SPRING
Active,C20,899.11111103,1104.72222214,SPRING
Active,C21,857.05555547,1155.27777768,SPRING
Advanced,C16,1184.77777768,1184.77777768,SPRING
Advanced,C17,1061.55555547,1184.77777768,SPRING
Advanced,C18,1042.16666658,1184.77777768,SPRING
Advanced,C19,734.49999992,1155.27777768,SPRING
Advanced,C20,1104.72222214,1184.77777768,SPRING
Advanced,C21,1155.27777768,1184.77777768,SPRING
Dry,C16,1184.77777768,1184.77777768,SPRING
Dry,C17,1184.77777768,1184.77777768,SPRING
Dry,C18,1184.77777768,1184.77777768,SPRING
Dry,C19,1155.27777768,1184.77777768,SPRING
Dry,C20,1184.77777768,1184.77777768,SPRING
Dry,C21,1184.77777768,1184.77777768,SPRING