DAY,HOUR date,Hour,Temperature,Hour,Baseline,adjusted_temperature,adh,LMobserved,larvaeobserved
5/15/23,12:00,0,16.05555556,0,10,6.05555556,0,0,0
5/15/23,13:00,1,17.61111111,1,10,7.61111111,7.61111111,0,0
5/15/23,14:00,2,18.72222222,2,10,8.72222222,16.33333333,0,0
5/15/23,15:00,3,19.83333333,3,10,9.83333333,26.16666666,0,0
5/15/23,16:00,4,20.44444444,4,10,10.44444444,36.6111111,0,0
5/15/23,17:00,5,21.27777778,5,10,11.27777778,47.88888888,0,0
5/15/23,18:00,6,21.55555556,6,10,11.55555556,59.44444444,0,0
5/15/23,19:00,7,21.72222222,7,10,11.72222222,71.16666666,0,0
5/15/23,20:00,8,21.27777778,8,10,11.27777778,82.44444444,0,0
5/15/23,21:00,9,19.38888889,9,10,9.38888889,91.83333333,0,0
5/15/23,22:00,10,14.72222222,10,10,4.72222222,96.55555555,0,0
5/15/23,23:00,11,14.83333333,11,10,4.83333333,101.38888888,0,0
5/16/23,0:00,12,14.77777778,12,10,4.77777778,106.16666666,0,0
5/16/23,1:00,13,12.66666667,13,10,2.66666667,108.83333333,0,0
5/16/23,2:00,14,9.944444444,14,10,0,108.83333333,0,0
5/16/23,3:00,15,7.666666667,15,10,0,108.83333333,0,0
5/16/23,4:00,16,6.666666667,16,10,0,108.83333333,0,0
5/16/23,5:00,17,6.166666667,17,10,0,108.83333333,0,0
5/16/23,6:00,18,6,18,10,0,108.83333333,0,0
5/16/23,7:00,19,5.5,19,10,0,108.83333333,0,0
5/16/23,8:00,20,7.777777778,20,10,0,108.83333333,0,0
5/16/23,9:00,21,11.61111111,21,10,1.61111111,110.44444444,0,0
5/16/23,10:00,22,14.61111111,22,10,4.61111111,115.05555555,0,0
5/16/23,11:00,23,16.72222222,23,10,6.72222222,121.77777777,0,0
5/16/23,12:00,24,19.38888889,24,10,9.38888889,131.16666666,0,0
5/16/23,13:00,25,21.16666667,25,10,11.16666667,142.33333333,0,0
5/16/23,14:00,26,22.83333333,26,10,12.83333333,155.16666666,0,0
5/16/23,15:00,27,23.83333333,27,10,13.83333333,168.99999999,0,0
5/16/23,16:00,28,24,28,10,14,182.99999999,0,0
5/16/23,17:00,29,23.83333333,29,10,13.83333333,196.83333332,0,0
5/16/23,18:00,30,22.94444444,30,10,12.94444444,209.77777776,0,0
5/16/23,19:00,31,21.77777778,31,10,11.77777778,221.55555554,0,0
5/16/23,20:00,32,20.55555556,32,10,10.55555556,232.1111111,0,0
5/16/23,21:00,33,18,33,10,8,240.1111111,0,0
5/16/23,22:00,34,15.83333333,34,10,5.83333333,245.94444443,0,0
5/16/23,23:00,35,13.88888889,35,10,3.88888889,249.83333332,0,0
5/17/23,0:00,36,11.83333333,36,10,1.83333333,251.66666665,0,0
5/17/23,1:00,37,10.61111111,37,10,0.61111111,252.27777776,0,0
5/17/23,2:00,38,9.444444444,38,10,0,252.27777776,0,0
5/17/23,3:00,39,8.222222222,39,10,0,252.27777776,0,0
5/17/23,4:00,40,6.833333333,40,10,0,252.27777776,0,0
5/17/23,5:00,41,6.333333333,41,10,0,252.27777776,0,0
5/17/23,6:00,42,5.666666667,42,10,0,252.27777776,0,0
5/17/23,7:00,43,5.277777778,43,10,0,252.27777776,0,0
5/17/23,8:00,44,6.277777778,44,10,0,252.27777776,0,0
5/17/23,9:00,45,6.944444444,45,10,0,252.27777776,0,0
5/17/23,10:00,46,8.277777778,46,10,0,252.27777776,0,0
5/17/23,11:00,47,9.055555556,47,10,0,252.27777776,0,0
5/17/23,12:00,48,10.16666667,48,10,0.16666667,252.44444443,0,0
5/17/23,13:00,49,11.11111111,49,10,1.11111111,253.55555554,0,0
5/17/23,14:00,50,11.77777778,50,10,1.77777778,255.33333332,0,1
5/17/23,15:00,51,12.66666667,51,10,2.66666667,257.99999999,0,1
5/17/23,16:00,52,13.61111111,52,10,3.61111111,261.6111111,0,1
5/17/23,17:00,53,13.72222222,53,10,3.72222222,265.33333332,0,1
5/17/23,18:00,54,13.77777778,54,10,3.77777778,269.1111111,0,1
5/17/23,19:00,55,13.44444444,55,10,3.44444444,272.55555554,0,1
5/17/23,20:00,56,12.72222222,56,10,2.72222222,275.27777776,0,1
5/17/23,21:00,57,11.44444444,57,10,1.44444444,276.7222222,0,1
5/17/23,22:00,58,9.388888889,58,10,0,276.7222222,0,1
5/17/23,23:00,59,6.666666667,59,10,0,276.7222222,0,1
5/18/23,0:00,60,5.888888889,60,10,0,276.7222222,0,1
5/18/23,1:00,61,5.833333333,61,10,0,276.7222222,0,1
5/18/23,2:00,62,4.611111111,62,10,0,276.7222222,0,1
5/18/23,3:00,63,4.388888889,63,10,0,276.7222222,0,1
5/18/23,4:00,64,3,64,10,0,276.7222222,0,1
5/18/23,5:00,65,2.944444444,65,10,0,276.7222222,0,1
5/18/23,6:00,66,3.333333333,66,10,0,276.7222222,0,1
5/18/23,7:00,67,3,67,10,0,276.7222222,0,1
5/18/23,8:00,68,4,68,10,0,276.7222222,0,1
5/18/23,9:00,69,6.333333333,69,10,0,276.7222222,0,1
5/18/23,10:00,70,8.888888889,70,10,0,276.7222222,0,1
5/18/23,11:00,71,11.11111111,71,10,1.11111111,277.83333331,0,1
5/18/23,12:00,72,13.11111111,72,10,3.11111111,280.94444442,0,1
5/18/23,13:00,73,14.66666667,73,10,4.66666667,285.61111109,0,1
5/18/23,14:00,74,15.94444444,74,10,5.94444444,291.55555553,0,1
5/18/23,15:00,75,16.88888889,75,10,6.88888889,298.44444442,0,1
5/18/23,16:00,76,17.88888889,76,10,7.88888889,306.33333331,0,1
5/18/23,17:00,77,18.5,77,10,8.5,314.83333331,0,1
5/18/23,18:00,78,18.77777778,78,10,8.77777778,323.61111109,0,1
5/18/23,19:00,79,18.66666667,79,10,8.66666667,332.27777776,0,1
5/18/23,20:00,80,17.44444444,80,10,7.44444444,339.7222222,0,1
5/18/23,21:00,81,15.27777778,81,10,5.27777778,344.99999998,0,1
5/18/23,22:00,82,13.27777778,82,10,3.27777778,348.27777776,0,1
5/18/23,23:00,83,11.44444444,83,10,1.44444444,349.7222222,0,1
5/19/23,0:00,84,9.944444444,84,10,0,349.7222222,0,1
5/19/23,1:00,85,8.666666667,85,10,0,349.7222222,0,1
5/19/23,2:00,86,7.944444444,86,10,0,349.7222222,0,1
5/19/23,3:00,87,7.388888889,87,10,0,349.7222222,0,1
5/19/23,4:00,88,7.666666667,88,10,0,349.7222222,0,1
5/19/23,5:00,89,7.944444444,89,10,0,349.7222222,0,1
5/19/23,6:00,90,8.833333333,90,10,0,349.7222222,0,1
5/19/23,7:00,91,10.05555556,91,10,0.0555555600000002,349.77777776,0,1
5/19/23,8:00,92,12.55555556,92,10,2.55555556,352.33333332,0,1
5/19/23,9:00,93,14.61111111,93,10,4.61111111,356.94444443,0,1
5/19/23,10:00,94,17.33333333,94,10,7.33333333,364.27777776,0,1
5/19/23,11:00,95,19.33333333,95,10,9.33333333,373.61111109,0,1
5/19/23,12:00,96,20.38888889,96,10,10.38888889,383.99999998,0,1
5/19/23,13:00,97,21.05555556,97,10,11.05555556,395.05555554,0,1
5/19/23,14:00,98,21.61111111,98,10,11.61111111,406.66666665,0,1
5/19/23,15:00,99,21.77777778,99,10,11.77777778,418.44444443,0,1
5/19/23,16:00,100,21.38888889,100,10,11.38888889,429.83333332,0,1
5/19/23,17:00,101,18.83333333,101,10,8.83333333,438.66666665,0,1
5/19/23,18:00,102,16.44444444,102,10,6.44444444,445.11111109,0,1
5/19/23,19:00,103,15.83333333,103,10,5.83333333,450.94444442,0,1
5/19/23,20:00,104,15.77777778,104,10,5.77777778,456.7222222,0,1
5/19/23,21:00,105,15.55555556,105,10,5.55555556,462.27777776,0,1
5/19/23,22:00,106,15.22222222,106,10,5.22222222,467.49999998,0,1
5/19/23,23:00,107,14.83333333,107,10,4.83333333,472.33333331,0,1
5/20/23,0:00,108,13.94444444,108,10,3.94444444,476.27777775,0,1
5/20/23,1:00,109,13,109,10,3,479.27777775,0,1
5/20/23,2:00,110,11.94444444,110,10,1.94444444,481.22222219,0,1
5/20/23,3:00,111,11,111,10,1,482.22222219,0,1
5/20/23,4:00,112,9.888888889,112,10,0,482.22222219,0,1
5/20/23,5:00,113,8.888888889,113,10,0,482.22222219,0,1
5/20/23,6:00,114,8.388888889,114,10,0,482.22222219,0,1
5/20/23,7:00,115,8.166666667,115,10,0,482.22222219,0,1
5/20/23,8:00,116,8.277777778,116,10,0,482.22222219,0,1
5/20/23,9:00,117,8.444444444,117,10,0,482.22222219,0,1
5/20/23,10:00,118,9.444444444,118,10,0,482.22222219,0,1
5/20/23,11:00,119,9.888888889,119,10,0,482.22222219,0,1
5/20/23,12:00,120,10.44444444,120,10,0.44444444,482.66666663,0,1
5/20/23,13:00,121,10.83333333,121,10,0.83333333,483.49999996,0,1
5/20/23,14:00,122,12.33333333,122,10,2.33333333,485.83333329,1,1
5/20/23,15:00,123,13.72222222,123,10,3.72222222,489.55555551,1,1
5/20/23,16:00,124,14.16666667,124,10,4.16666667,493.72222218,1,1
5/20/23,17:00,125,14.77777778,125,10,4.77777778,498.49999996,1,1
5/20/23,18:00,126,15.44444444,126,10,5.44444444,503.9444444,1,1
5/20/23,19:00,127,16.38888889,127,10,6.38888889,510.33333329,1,1
5/20/23,20:00,128,17,128,10,7,517.33333329,1,1
5/20/23,21:00,129,15.83333333,129,10,5.83333333,523.16666662,1,1
5/20/23,22:00,130,13.61111111,130,10,3.61111111,526.77777773,1,1
5/20/23,23:00,131,12.33333333,131,10,2.33333333,529.11111106,1,1
5/21/23,0:00,132,11.83333333,132,10,1.83333333,530.94444439,1,1
5/21/23,1:00,133,11.11111111,133,10,1.11111111,532.0555555,1,1
5/21/23,2:00,134,10.22222222,134,10,0.222222220000001,532.27777772,1,1
5/21/23,3:00,135,9.722222222,135,10,0,532.27777772,1,1
5/21/23,4:00,136,9.111111111,136,10,0,532.27777772,1,1
5/21/23,5:00,137,8.333333333,137,10,0,532.27777772,1,1
5/21/23,6:00,138,7.444444444,138,10,0,532.27777772,1,1
5/21/23,7:00,139,7,139,10,0,532.27777772,1,1
5/21/23,8:00,140,9.166666667,140,10,0,532.27777772,1,1
5/21/23,9:00,141,11.61111111,141,10,1.61111111,533.88888883,1,1
5/21/23,10:00,142,13.94444444,142,10,3.94444444,537.83333327,1,1
5/21/23,11:00,143,16.33333333,143,10,6.33333333,544.1666666,1,1
5/21/23,12:00,144,19.11111111,144,10,9.11111111,553.27777771,1,1
5/21/23,13:00,145,20.61111111,145,10,10.61111111,563.88888882,1,1
5/21/23,14:00,146,21.88888889,146,10,11.88888889,575.77777771,1,1
5/21/23,15:00,147,22.44444444,147,10,12.44444444,588.22222215,1,1
5/21/23,16:00,148,22.77777778,148,10,12.77777778,600.99999993,1,1
5/21/23,17:00,149,23.44444444,149,10,13.44444444,614.44444437,1,1
5/21/23,18:00,150,23.16666667,150,10,13.16666667,627.61111104,1,1
5/21/23,19:00,151,23.11111111,151,10,13.11111111,640.72222215,1,1
5/21/23,20:00,152,22.61111111,152,10,12.61111111,653.33333326,1,1
5/21/23,21:00,153,20.05555556,153,10,10.05555556,663.38888882,1,1
5/21/23,22:00,154,19.11111111,154,10,9.11111111,672.49999993,1,1
5/21/23,23:00,155,17.72222222,155,10,7.72222222,680.22222215,1,1
5/22/23,0:00,156,13.66666667,156,10,3.66666667,683.88888882,1,1
5/22/23,1:00,157,12.5,157,10,2.5,686.38888882,1,1
5/22/23,2:00,158,10.72222222,158,10,0.722222220000001,687.11111104,1,1
5/22/23,3:00,159,9.5,159,10,0,687.11111104,1,1
5/22/23,4:00,160,8.833333333,160,10,0,687.11111104,1,1
5/22/23,5:00,161,8.833333333,161,10,0,687.11111104,1,1
5/22/23,6:00,162,8.055555556,162,10,0,687.11111104,1,1
5/22/23,7:00,163,7.444444444,163,10,0,687.11111104,1,1
5/22/23,8:00,164,8.5,164,10,0,687.11111104,1,1
5/22/23,9:00,165,11.16666667,165,10,1.16666667,688.27777771,1,1
5/22/23,10:00,166,14.11111111,166,10,4.11111111,692.38888882,1,1
5/22/23,11:00,167,17.22222222,167,10,7.22222222,699.61111104,1,1
5/22/23,12:00,168,19.94444444,168,10,9.94444444,709.55555548,1,1
5/22/23,13:00,169,21.83333333,169,10,11.83333333,721.38888881,1,1
5/22/23,14:00,170,23.11111111,170,10,13.11111111,734.49999992,1,1
5/22/23,15:00,171,23.33333333,171,10,13.33333333,747.83333325,1,1
5/22/23,16:00,172,23.33333333,172,10,13.33333333,761.16666658,1,1
5/22/23,17:00,173,23.05555556,173,10,13.05555556,774.22222214,1,1
5/22/23,18:00,174,23,174,10,13,787.22222214,1,1
5/22/23,19:00,175,22.83333333,175,10,12.83333333,800.05555547,1,1
5/22/23,20:00,176,21.66666667,176,10,11.66666667,811.72222214,1,1
5/22/23,21:00,177,19.33333333,177,10,9.33333333,821.05555547,1,1
5/22/23,22:00,178,17.55555556,178,10,7.55555556,828.61111103,1,1
5/22/23,23:00,179,16.33333333,179,10,6.33333333,834.94444436,1,1
5/23/23,0:00,180,15,180,10,5,839.94444436,1,1
5/23/23,1:00,181,14.05555556,181,10,4.05555556,843.99999992,1,1
5/23/23,2:00,182,12.44444444,182,10,2.44444444,846.44444436,1,1
5/23/23,3:00,183,11.22222222,183,10,1.22222222,847.66666658,1,1
5/23/23,4:00,184,10.27777778,184,10,0.277777779999999,847.94444436,1,1
5/23/23,5:00,185,10.66666667,185,10,0.66666667,848.61111103,1,1
5/23/23,6:00,186,10,186,10,0,848.61111103,1,1
5/23/23,7:00,187,9.388888889,187,10,0,848.61111103,1,1
5/23/23,8:00,188,10.72222222,188,10,0.722222220000001,849.33333325,1,1
5/23/23,9:00,189,12.88888889,189,10,2.88888889,852.22222214,1,1
5/23/23,10:00,190,14.83333333,190,10,4.83333333,857.05555547,1,1
5/23/23,11:00,191,17.16666667,191,10,7.16666667,864.22222214,1,1
5/23/23,12:00,192,19.44444444,192,10,9.44444444,873.66666658,1,1
5/23/23,13:00,193,21.88888889,193,10,11.88888889,885.55555547,1,1
5/23/23,14:00,194,23.55555556,194,10,13.55555556,899.11111103,1,1
5/23/23,15:00,195,24.16666667,195,10,14.16666667,913.2777777,1,1
5/23/23,16:00,196,24.77777778,196,10,14.77777778,928.05555548,1,1
5/23/23,17:00,197,25,197,10,15,943.05555548,1,1
5/23/23,18:00,198,24.72222222,198,10,14.72222222,957.7777777,1,1
5/23/23,19:00,199,24.83333333,199,10,14.83333333,972.61111103,1,1
5/23/23,20:00,200,23.94444444,200,10,13.94444444,986.55555547,1,1
5/23/23,21:00,201,21.38888889,201,10,11.38888889,997.94444436,1,1
5/23/23,22:00,202,17.83333333,202,10,7.83333333,1005.77777769,1,1
5/23/23,23:00,203,15.72222222,203,10,5.72222222,1011.49999991,1,1
5/24/23,0:00,204,14.11111111,204,10,4.11111111,1015.61111102,1,1
5/24/23,1:00,205,13.11111111,205,10,3.11111111,1018.72222213,1,1
5/24/23,2:00,206,12.61111111,206,10,2.61111111,1021.33333324,1,1
5/24/23,3:00,207,12.05555556,207,10,2.05555556,1023.3888888,1,1
5/24/23,4:00,208,11,208,10,1,1024.3888888,1,1
5/24/23,5:00,209,11,209,10,1,1025.3888888,1,1
5/24/23,6:00,210,10.55555556,210,10,0.55555556,1025.94444436,1,1
5/24/23,7:00,211,10.61111111,211,10,0.61111111,1026.55555547,1,1
5/24/23,8:00,212,13.77777778,212,10,3.77777778,1030.33333325,1,1
5/24/23,9:00,213,16.22222222,213,10,6.22222222,1036.55555547,1,1
5/24/23,10:00,214,15.61111111,214,10,5.61111111,1042.16666658,1,1
5/24/23,11:00,215,14.11111111,215,10,4.11111111,1046.27777769,1,1
5/24/23,12:00,216,14.66666667,216,10,4.66666667,1050.94444436,1,1
5/24/23,13:00,217,15.11111111,217,10,5.11111111,1056.05555547,1,1
5/24/23,14:00,218,15.5,218,10,5.5,1061.55555547,1,1
5/24/23,15:00,219,16.05555556,219,10,6.05555556,1067.61111103,1,1
5/24/23,16:00,220,15.94444444,220,10,5.94444444,1073.55555547,1,1
5/24/23,17:00,221,15.94444444,221,10,5.94444444,1079.49999991,1,1
5/24/23,18:00,222,15.22222222,222,10,5.22222222,1084.72222213,1,1
5/24/23,19:00,223,14.16666667,223,10,4.16666667,1088.8888888,1,1
5/24/23,20:00,224,13.66666667,224,10,3.66666667,1092.55555547,1,1
5/24/23,21:00,225,12.16666667,225,10,2.16666667,1094.72222214,1,1
5/24/23,22:00,226,10.33333333,226,10,0.33333333,1095.05555547,1,1
5/24/23,23:00,227,8.555555556,227,10,0,1095.05555547,1,1
5/25/23,0:00,228,7.333333333,228,10,0,1095.05555547,1,1
5/25/23,1:00,229,6.444444444,229,10,0,1095.05555547,1,1
5/25/23,2:00,230,5.944444444,230,10,0,1095.05555547,1,1
5/25/23,3:00,231,5.555555556,231,10,0,1095.05555547,1,1
5/25/23,4:00,232,5.166666667,232,10,0,1095.05555547,1,1
5/25/23,5:00,233,4.833333333,233,10,0,1095.05555547,1,1
5/25/23,6:00,234,4.388888889,234,10,0,1095.05555547,1,1
5/25/23,7:00,235,4.277777778,235,10,0,1095.05555547,1,1
5/25/23,8:00,236,4.777777778,236,10,0,1095.05555547,1,1
5/25/23,9:00,237,6.222222222,237,10,0,1095.05555547,1,1
5/25/23,10:00,238,8.222222222,238,10,0,1095.05555547,1,1
5/25/23,11:00,239,9.944444444,239,10,0,1095.05555547,1,1
5/25/23,12:00,240,11.77777778,240,10,1.77777778,1096.83333325,1,1
5/25/23,13:00,241,13.33333333,241,10,3.33333333,1100.16666658,1,1
5/25/23,14:00,242,14.55555556,242,10,4.55555556,1104.72222214,1,1
5/25/23,15:00,243,15.88888889,243,10,5.88888889,1110.61111103,1,1
5/25/23,16:00,244,16.83333333,244,10,6.83333333,1117.44444436,1,1
5/25/23,17:00,245,17.33333333,245,10,7.33333333,1124.77777769,1,1
5/25/23,18:00,246,17.5,246,10,7.5,1132.27777769,1,1
5/25/23,19:00,247,17.22222222,247,10,7.22222222,1139.49999991,1,1
5/25/23,20:00,248,16.27777778,248,10,6.27777778,1145.77777769,1,1
5/25/23,21:00,249,14.33333333,249,10,4.33333333,1150.11111102,1,1
5/25/23,22:00,250,12.33333333,250,10,2.33333333,1152.44444435,1,1
5/25/23,23:00,251,10.5,251,10,0.5,1152.94444435,1,1
5/26/23,0:00,252,8.888888889,252,10,0,1152.94444435,1,1
5/26/23,1:00,253,7.555555556,253,10,0,1152.94444435,1,1
5/26/23,2:00,254,5.611111111,254,10,0,1152.94444435,1,1
5/26/23,3:00,255,4.111111111,255,10,0,1152.94444435,1,1
5/26/23,4:00,256,2.722222222,256,10,0,1152.94444435,1,1
5/26/23,5:00,257,3.222222222,257,10,0,1152.94444435,1,1
5/26/23,6:00,258,3.833333333,258,10,0,1152.94444435,1,1
5/26/23,7:00,259,3.333333333,259,10,0,1152.94444435,1,1
5/26/23,8:00,260,5.611111111,260,10,0,1152.94444435,1,1
5/26/23,9:00,261,8.833333333,261,10,0,1152.94444435,1,1
5/26/23,10:00,262,12.33333333,262,10,2.33333333,1155.27777768,1,1
5/26/23,11:00,263,14.88888889,263,10,4.88888889,1160.16666657,1,1
5/26/23,12:00,264,16.83333333,264,10,6.83333333,1166.9999999,1,1
5/26/23,13:00,265,18.22222222,265,10,8.22222222,1175.22222212,1,1
5/26/23,14:00,266,19.55555556,266,10,9.55555556,1184.77777768,1,1