Temperature,Hour,Baseline,adjusted_temperature,adh,LMobserved,larvaeobserved
24.55555556,0,10,14.55555556,0,0,0
24.55555556,1,10,14.55555556,14.55555556,0,0
25.27777778,2,10,15.27777778,29.83333334,0,0
27.11111111,3,10,17.11111111,46.94444445,0,0
28.11111111,4,10,18.11111111,65.05555556,0,0
28.44444444,5,10,18.44444444,83.5,0,0
28.61111111,6,10,18.61111111,102.11111111,0,0
28.83333333,7,10,18.83333333,120.94444444,0,0
28.5,8,10,18.5,139.44444444,0,0
27.05555556,9,10,17.05555556,156.5,0,0
24.44444444,10,10,14.44444444,170.94444444,0,0
23.44444444,11,10,13.44444444,184.38888888,0,0
23.33333333,12,10,13.33333333,197.72222221,0,0
23.11111111,13,10,13.11111111,210.83333332,0,0
23,14,10,13,223.83333332,0,0
22.61111111,15,10,12.61111111,236.44444443,0,0
22.05555556,16,10,12.05555556,248.49999999,0,0
21.72222222,17,10,11.72222222,260.22222221,0,0
20.94444444,18,10,10.94444444,271.16666665,0,0
21,19,10,11,282.16666665,0,0
22.05555556,20,10,12.05555556,294.22222221,0,0
24.05555556,21,10,14.05555556,308.27777777,0,0
26.05555556,22,10,16.05555556,324.33333333,1,1
27.83333333,23,10,17.83333333,342.16666666,1,1
28.77777778,24,10,18.77777778,360.94444444,1,1
29.11111111,25,10,19.11111111,380.05555555,1,1
29.94444444,26,10,19.94444444,399.99999999,1,1
30.22222222,27,10,20.22222222,420.22222221,1,1
30.44444444,28,10,20.44444444,440.66666665,1,1
30.66666667,29,10,20.66666667,461.33333332,1,1
30.55555556,30,10,20.55555556,481.88888888,1,1
30.27777778,31,10,20.27777778,502.16666666,1,1
29.5,32,10,19.5,521.66666666,1,1
27.94444444,33,10,17.94444444,539.6111111,1,1
26.16666667,34,10,16.16666667,555.77777777,1,1
25.38888889,35,10,15.38888889,571.16666666,1,1
24.83333333,36,10,14.83333333,585.99999999,1,1
24.44444444,37,10,14.44444444,600.44444443,1,1
23.83333333,38,10,13.83333333,614.27777776,1,1
23.61111111,39,10,13.61111111,627.88888887,1,1
23.44444444,40,10,13.44444444,641.33333331,1,1
23.16666667,41,10,13.16666667,654.49999998,1,1
23.27777778,42,10,13.27777778,667.77777776,1,1
23.66666667,43,10,13.66666667,681.44444443,1,1
23.83333333,44,10,13.83333333,695.27777776,1,1
24.55555556,45,10,14.55555556,709.83333332,1,1
25.94444444,46,10,15.94444444,725.77777776,1,1
26.66666667,47,10,16.66666667,742.44444443,1,1
28.33333333,48,10,18.33333333,760.77777776,1,1
29.33333333,49,10,19.33333333,780.11111109,1,1
29.77777778,50,10,19.77777778,799.88888887,1,1
26.61111111,51,10,16.61111111,816.49999998,0,1
23.22222222,52,10,13.22222222,829.7222222,0,1
23.72222222,53,10,13.72222222,843.44444442,0,1
24.22222222,54,10,14.22222222,857.66666664,0,1
25.11111111,55,10,15.11111111,872.77777775,0,1
25.05555556,56,10,15.05555556,887.83333331,0,1
24.61111111,57,10,14.61111111,902.44444442,0,1
24.33333333,58,10,14.33333333,916.77777775,0,1
24.38888889,59,10,14.38888889,931.16666664,0,1
24.11111111,60,10,14.11111111,945.27777775,0,1
22.83333333,61,10,12.83333333,958.11111108,0,1
23.16666667,62,10,13.16666667,971.27777775,0,1
23.11111111,63,10,13.11111111,984.38888886,0,1
22.94444444,64,10,12.94444444,997.3333333,0,1
22.55555556,65,10,12.55555556,1009.88888886,0,1
22.16666667,66,10,12.16666667,1022.05555553,0,1
22,67,10,12,1034.05555553,0,1
22.11111111,68,10,12.11111111,1046.16666664,0,1
22.61111111,69,10,12.61111111,1058.77777775,0,1
24.05555556,70,10,14.05555556,1072.83333331,0,1
25.27777778,71,10,15.27777778,1088.11111109,0,1
27.05555556,72,10,17.05555556,1105.16666665,0,1
27.94444444,73,10,17.94444444,1123.11111109,0,1
27.66666667,74,10,17.66666667,1140.77777776,0,1
28.05555556,75,10,18.05555556,1158.83333332,0,1
27.83333333,76,10,17.83333333,1176.66666665,0,1
26.77777778,77,10,16.77777778,1193.44444443,0,1
25.11111111,78,10,15.11111111,1208.55555554,0,1
24.72222222,79,10,14.72222222,1223.27777776,0,1
24.5,80,10,14.5,1237.77777776,0,1
24.16666667,81,10,14.16666667,1251.94444443,0,1
21.44444444,82,10,11.44444444,1263.38888887,0,1
20.5,83,10,10.5,1273.88888887,0,1
19.77777778,84,10,9.77777778,1283.66666665,0,1
18.66666667,85,10,8.66666667,1292.33333332,0,1
17.38888889,86,10,7.38888889,1299.72222221,0,1
17.22222222,87,10,7.22222222,1306.94444443,0,1
17.55555556,88,10,7.55555556,1314.49999999,0,1
17.16666667,89,10,7.16666667,1321.66666666,0,1
16.05555556,90,10,6.05555556,1327.72222222,0,1
15.27777778,91,10,5.27777778,1333,0,1
16.72222222,92,10,6.72222222,1339.72222222,0,1
18,93,10,8,1347.72222222,0,1
19,94,10,9,1356.72222222,0,1
19.11111111,95,10,9.11111111,1365.83333333,0,1
20.88888889,96,10,10.88888889,1376.72222222,0,1
22.05555556,97,10,12.05555556,1388.77777778,0,1
22.55555556,98,10,12.55555556,1401.33333334,0,1
22.22222222,99,10,12.22222222,1413.55555556,0,1
23.11111111,100,10,13.11111111,1426.66666667,0,1
23.27777778,101,10,13.27777778,1439.94444445,0,1
22.83333333,102,10,12.83333333,1452.77777778,0,1
22.83333333,103,10,12.83333333,1465.61111111,0,1
22.55555556,104,10,12.55555556,1478.16666667,0,1
21.33333333,105,10,11.33333333,1489.5,0,1
18.77777778,106,10,8.77777778,1498.27777778,0,1
17.94444444,107,10,7.94444444,1506.22222222,0,1
16.05555556,108,10,6.05555556,1512.27777778,0,1
15.16666667,109,10,5.16666667,1517.44444445,0,1
14.83333333,110,10,4.83333333,1522.27777778,0,1
14.16666667,111,10,4.16666667,1526.44444445,0,1
13.72222222,112,10,3.72222222,1530.16666667,0,1
13.11111111,113,10,3.11111111,1533.27777778,0,1
13.66666667,114,10,3.66666667,1536.94444445,0,1
12.88888889,115,10,2.88888889,1539.83333334,0,1
14.94444444,116,10,4.94444444,1544.77777778,0,1
18.38888889,117,10,8.38888889,1553.16666667,0,1
20.55555556,118,10,10.55555556,1563.72222223,0,1
22.44444444,119,10,12.44444444,1576.16666667,0,1
23.94444444,120,10,13.94444444,1590.11111111,0,1
24.55555556,121,10,14.55555556,1604.66666667,0,1
25.16666667,122,10,15.16666667,1619.83333334,0,1
25.72222222,123,10,15.72222222,1635.55555556,0,1
26.27777778,124,10,16.27777778,1651.83333334,0,1
26.66666667,125,10,16.66666667,1668.50000001,0,1
26.77777778,126,10,16.77777778,1685.27777779,0,1
26.66666667,127,10,16.66666667,1701.94444446,0,1
26.16666667,128,10,16.16666667,1718.11111113,0,1
24.5,129,10,14.5,1732.61111113,0,1
22.5,130,10,12.5,1745.11111113,0,1
21.44444444,131,10,11.44444444,1756.55555557,0,1
20.77777778,132,10,10.77777778,1767.33333335,0,1
20.27777778,133,10,10.27777778,1777.61111113,0,1
20.5,134,10,10.5,1788.11111113,0,1
20.88888889,135,10,10.88888889,1799.00000002,0,1
20.66666667,136,10,10.66666667,1809.66666669,0,1
20.5,137,10,10.5,1820.16666669,0,1
19.83333333,138,10,9.83333333,1830.00000002,0,1
18.94444444,139,10,8.94444444,1838.94444446,0,1
19.27777778,140,10,9.27777778,1848.22222224,0,1
19.72222222,141,10,9.72222222,1857.94444446,0,1
21.11111111,142,10,11.11111111,1869.05555557,0,1
21.94444444,143,10,11.94444444,1881.00000001,0,1
22.66666667,144,10,12.66666667,1893.66666668,0,1
23.33333333,145,10,13.33333333,1907.00000001,0,1
23.66666667,146,10,13.66666667,1920.66666668,0,1
23.94444444,147,10,13.94444444,1934.61111112,0,1
23.77777778,148,10,13.77777778,1948.3888889,0,1